['hp', 'ac']	8	scale	0.958	0.804	0.808	0.806	0.783
['ah', 'ac']	8	scale	0.953	0.795	0.765	0.779	0.753
['tm', 'ac']	8	scale	0.966	0.839	0.849	0.844	0.825
['ch', 'ac']	8	scale	0.956	0.811	0.768	0.789	0.764
['hp', 'ah', 'ac']	8	1	0.956	0.793	0.799	0.796	0.771
['hp', 'tm', 'ac']	8	1	0.966	0.837	0.852	0.844	0.825
['hp', 'ch', 'ac']	8	scale	0.961	0.820	0.824	0.822	0.800
['ah', 'tm', 'ac']	8	scale	0.968	0.846	0.857	0.851	0.833
['ah', 'ch', 'ac']	8	scale	0.954	0.804	0.766	0.784	0.759
['tm', 'ch', 'ac']	8	1	0.969	0.851	0.864	0.857	0.840
['hp', 'ah', 'tm', 'ac']	8	1	0.968	0.850	0.856	0.853	0.835
['hp', 'ah', 'ch', 'ac']	8	1	0.960	0.817	0.818	0.817	0.795
['hp', 'tm', 'ch', 'ac']	8	1	0.969	0.844	0.871	0.857	0.840
['ah', 'tm', 'ch', 'ac']	8	1	0.969	0.853	0.864	0.858	0.841
['hp', 'ah', 'tm', 'ch', 'ac']	8	1	0.970	0.853	0.871	0.861	0.844
['ac']	1	scale	0.953	0.789	0.773	0.781	0.755
