P10627	Drosophila melanogaster	Metazoa	490	False
P53082	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	120	False
Q9USM1	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	388	False
P70582	Rattus norvegicus	Metazoa	510	False
P32903	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	40	True
Q05344	Drosophila melanogaster	Metazoa	723	False
Q9VQB6	Drosophila melanogaster	Metazoa	971	False
Q9Y2T6	Homo sapiens	Metazoa	319	True
P38169	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	460	False
Q9JIH2	Mus musculus	Metazoa	466	False
F4K8S5	Arabidopsis thaliana	Viridiplantae	355	False
Q8TEC5	Homo sapiens	Metazoa	729	False
P27697	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	501	False
Q96PV7	Homo sapiens	Metazoa	902	False
G1XJN1	Arthrobotrys oligospora (strain ATCC 24927 / CBS 115.81 / DSM 1491)	Fungi	401	True
Q93VB2	Arabidopsis thaliana	Viridiplantae	425	False
Q8IJX8	Plasmodium falciparum (isolate 3D7)	Other	107	False
P29084	Homo sapiens	Metazoa	291	False
Q8W487	Arabidopsis thaliana	Viridiplantae	250	False
P14905	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	389	False
Q08119	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	714	False
Q8K2T8	Mus musculus	Metazoa	535	False
A1Z7A8	Drosophila melanogaster	Metazoa	634	False
Q9H9D4	Homo sapiens	Metazoa	720	False
P86397	Homo sapiens	Metazoa	168	False
Q8IRW8	Drosophila melanogaster	Metazoa	2431	False
Q8BZT9	Mus musculus	Metazoa	430	False
Q9NXR7	Homo sapiens	Metazoa	383	False
Q9HCS7	Homo sapiens	Metazoa	855	False
F8VQK3	Mus musculus	Metazoa	730	False
Q9SHZ6	Arabidopsis thaliana	Viridiplantae	343	False
Q6E434	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	485	False
Q8N4Q1	Homo sapiens	Metazoa	142	False
Q9GZS3	Homo sapiens	Metazoa	305	False
P54987	Mus musculus	Metazoa	488	False
Q66JW3	Mus musculus	Metazoa	526	False
Q09821	Sus scrofa	Metazoa	138	False
O60141	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	299	False
Q4WGE2	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	607	True
P97367	Mus musculus	Metazoa	477	False
O60216	Homo sapiens	Metazoa	631	False
Q7L5Y1	Homo sapiens	Metazoa	443	False
Q5Z807	Oryza sativa subsp. japonica	Viridiplantae	390	False
Q9NSA0	Homo sapiens	Metazoa	550	True
Q9LXR8	Arabidopsis thaliana	Viridiplantae	318	False
O94670	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	273	False
Q04359	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	397	False
O43508	Homo sapiens	Metazoa	249	True
O60936	Homo sapiens	Metazoa	208	False
Q14157	Homo sapiens	Metazoa	1087	False
A0A1D8PRB7	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	1105	False
Q12084	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	232	False
Q3UIU2	Mus musculus	Metazoa	128	True
Q99884	Homo sapiens	Metazoa	636	True
P38727	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	235	True
P28803	Spinacia oleracea	Viridiplantae	128	False
Q0WUA3	Arabidopsis thaliana	Viridiplantae	382	False
Q20709	Caenorhabditis elegans	Metazoa	543	False
P10662	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	321	False
P38222	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	552	False
P13275	Scyliorhinus canicula	Metazoa	87	False
Q9UJM8	Homo sapiens	Metazoa	370	False
Q03151	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	367	False
Q3UHA3	Mus musculus	Metazoa	2430	False
P62875	Homo sapiens	Metazoa	67	False
Q08961	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	583	False
Q8VHT6	Rattus norvegicus	Metazoa	369	False
Q9LUI3	Arabidopsis thaliana	Viridiplantae	695	False
A0A120KVW2	Trypanosoma brucei brucei	Other	1136	False
P53298	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	406	False
P09622	Homo sapiens	Metazoa	509	False
Q9VKV5	Drosophila melanogaster	Metazoa	319	False
Q8BMI0	Mus musculus	Metazoa	1194	False
P07248	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1323	False
P25379	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	360	False
Q6L8Q7	Homo sapiens	Metazoa	609	False
Q9SK71	Arabidopsis thaliana	Viridiplantae	430	False
Q9LJG6	Arabidopsis thaliana	Viridiplantae	193	False
Q8LGD5	Arabidopsis thaliana	Viridiplantae	222	False
P53866	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	767	False
Q12522	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	245	False
A8MTT3	Homo sapiens	Metazoa	80	True
G5EF68	Caenorhabditis elegans	Metazoa	648	False
P15343	Equus caballus	Metazoa	58	False
Q8MMZ7	Toxoplasma gondii	Other	994	False
D0VWM8	Caenorhabditis elegans	Metazoa	414	False
Q9CZW6	Mus musculus	Metazoa	359	False
A0A509AER3	Plasmodium berghei (strain Anka)	Other	247	False
Q09349	Caenorhabditis elegans	Metazoa	984	False
G5ECU7	Caenorhabditis elegans	Metazoa	319	False
Q08417	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	382	True
P07390	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	489	False
Q96HY7	Homo sapiens	Metazoa	919	False
Q9H0G5	Homo sapiens	Metazoa	558	False
Q96P11	Homo sapiens	Metazoa	429	False
Q12418	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	502	False
